,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508453274369900544,2022-03-28 14:37:40+00:00,False,We have been working hard BTS and will have some exciting announcements coming with time. Thank you to our cosmunity for the support and constructive suggestions!💙🪐,38,23,186,,,"{'annotations': [{'start': 26, 'end': 28, 'probability': 0.8081, 'type': 'Organization', 'normalized_text': 'BTS'}]}",2.0
1,1508271987675783174,2022-03-28 02:37:18+00:00,True,"@TrapMonkie And the winners are:
• @0Tags0
• @niksft_
• @TheNewYola
• @bils12812031
• @Jesse_Aguirre1

✔️ https://t.co/WZbLlhbCFf",6,11,28,,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'TrapMonkie', 'id': '1418842036854214658'}, {'start': 35, 'end': 42, 'username': '0Tags0', 'id': '913571178362671104'}, {'start': 45, 'end': 53, 'username': 'niksft_', 'id': '1494311941203845122'}, {'start': 56, 'end': 67, 'username': 'TheNewYola', 'id': '836200416190824448'}, {'start': 70, 'end': 83, 'username': 'bils12812031', 'id': '1451066144647942145'}, {'start': 86, 'end': 101, 'username': 'Jesse_Aguirre1', 'id': '1057366712746618880'}], 'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/WZbLlhbCFf', 'expanded_url': 'https://twitterpicker.com/d/f995b5m3', 'display_url': 'twitterpicker.com/d/f995b5m3'}]}",0.0
2,1508262679080800259,2022-03-28 02:00:19+00:00,False,"🪐Cosmiqs x FoodMoon🍕

We have officially partnered with @FoodMoon_NFT! We are excited to announce that we have secured 5x WL for the giveaway below!
(80x for holders in discord)

To enter:
1️⃣ Like &amp; Retweet
2️⃣ Tag 2 Friends
3️⃣ Follow
@CosmiqsNFT &amp; @FoodMoon_NFT https://t.co/QprSiwzqu0",364,329,461,,{'media_keys': ['3_1508260076292816905']},"{'mentions': [{'start': 56, 'end': 69, 'username': 'FoodMoon_NFT', 'id': '1468639036831301632'}, {'start': 241, 'end': 252, 'username': 'CosmiqsNFT', 'id': '1482920929382567936'}, {'start': 259, 'end': 272, 'username': 'FoodMoon_NFT', 'id': '1468639036831301632'}], 'urls': [{'start': 273, 'end': 296, 'url': 'https://t.co/QprSiwzqu0', 'expanded_url': 'https://twitter.com/CosmiqsNFT/status/1508262679080800259/photo/1', 'display_url': 'pic.twitter.com/QprSiwzqu0'}]}",6.0
3,1507924849242615810,2022-03-27 03:37:54+00:00,False,"Spaceship under maintenance, upgrade 60%. RT LK CMMT 4 MRE STTS UPDTS",122,49,247,,,,1.0
4,1507843594631225346,2022-03-26 22:15:01+00:00,False,"🪐Cosmiqs x TrapMonkie🐵

We have officially partnered with @TrapMonkie. We are super excited to announce that we have secured 85 WL spots for our holders &amp; 5 for the twitter giveaway below!

To enter:
1️⃣ Like &amp; Retweet
2️⃣ Tag 2 Friends
3️⃣ Follow @CosmiqsNFT &amp; @TrapMonkie https://t.co/ONtMjiOcpC",669,535,771,,{'media_keys': ['3_1507843591367974915']},"{'annotations': [{'start': 167, 'end': 173, 'probability': 0.4597, 'type': 'Product', 'normalized_text': 'twitter'}], 'mentions': [{'start': 58, 'end': 69, 'username': 'TrapMonkie', 'id': '1418842036854214658'}, {'start': 256, 'end': 267, 'username': 'CosmiqsNFT', 'id': '1482920929382567936'}, {'start': 274, 'end': 285, 'username': 'TrapMonkie', 'id': '1418842036854214658'}], 'urls': [{'start': 286, 'end': 309, 'url': 'https://t.co/ONtMjiOcpC', 'expanded_url': 'https://twitter.com/CosmiqsNFT/status/1507843594631225346/photo/1', 'display_url': 'pic.twitter.com/ONtMjiOcpC'}]}",8.0
5,1507688814600404998,2022-03-26 11:59:59+00:00,False,"Chem’s 3D workshop is today at 7:00pm EST and tomorrow at 1:00pm EST 🎨🌎 (Hosted in Verified VC)

Who will be there?!",21,1,83,,,,0.0
6,1507594525543444480,2022-03-26 05:45:19+00:00,False,Another great degen hours event. Thank you for those who came out tonight and discussed projects and the space! Gn space degens 🪐💙,19,3,112,,,,0.0
7,1507331051676393472,2022-03-25 12:18:22+00:00,False,"Gm, what events would you like to see in our cosmunity?

All members are welcome to host their own events!",19,26,131,,,,0.0
8,1507207001713127429,2022-03-25 04:05:26+00:00,True,"@JoinAlienverse Winners 🏆
• @cogito_ronin
• @EienKami
• @belgratos
• @TrevorLeung01
• @Bengali_nft

✔️ https://t.co/xojZmV2tWp",5,6,38,,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'JoinAlienverse', 'id': '1486038506392719365'}, {'start': 28, 'end': 41, 'username': 'cogito_ronin', 'id': '731308563004411904'}, {'start': 44, 'end': 53, 'username': 'EienKami', 'id': '897949952881512448'}, {'start': 56, 'end': 66, 'username': 'belgratos', 'id': '1490872741557329920'}, {'start': 69, 'end': 83, 'username': 'TrevorLeung01', 'id': '1499060066451963905'}, {'start': 86, 'end': 98, 'username': 'Bengali_nft', 'id': '726098791351242753'}], 'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/xojZmV2tWp', 'expanded_url': 'https://twitterpicker.com/d/enm6e9vz', 'display_url': 'twitterpicker.com/d/enm6e9vz'}]}",0.0
9,1507051446788927492,2022-03-24 17:47:19+00:00,False,"Saturday and Sunday we will be hosting 3D modeling courses in Verified VC with @_Chemistry_bro 

Be sure to come support and check our community calendar in discord for all other events! 🪐💙",34,7,112,,,"{'mentions': [{'start': 79, 'end': 94, 'username': '_Chemistry_bro', 'id': '1260967848970780673'}]}",2.0
