,nft_name,influencer_name,is_influencer_following
0,frenlypandas,BentoBoiNFT,False
1,frenlypandas,TheShamdoo,False
2,frenlypandas,dingalingts,False
3,frenlypandas,champtgram,False
4,frenlypandas,CryptoGorillaYT,False
5,frenlypandas,nftpasta,False
6,frenlypandas,MattCobuzio,False
7,frenlypandas,mulligan,False
8,frenlypandas,Crypt0Emma,False
9,frenlypandas,SkiddilyNFT,False
10,frenlypandas,NFTverse_,False
11,frenlypandas,NickyGee44,False
12,frenlypandas,allnick,False
13,frenlypandas,Cameron_singh17,False
14,frenlypandas,maxnaut,False
15,frenlypandas,LilMoonLambo,False
16,frenlypandas,SajadNFT,False
17,frenlypandas,ashrobinqt,False
18,frenlypandas,Dario_Desiena,False
19,frenlypandas,SneakyninjaNFTs,False
20,frenlypandas,KosherPlug,False
21,frenlypandas,thebrettway,False
22,frenlypandas,OttoSuwenNFT,False
23,frenlypandas,OttoSuwenNFT,False
24,frenlypandas,itstylersays,False
25,frenlypandas,hypnotizedApe,False
26,frenlypandas,NFTLlama,False
27,frenlypandas,JRNYcrypto,False
28,frenlypandas,ZssBecker,False
29,frenlypandas,SpencerCUH,False
30,frenlypandas,Archemist23NFT,False
31,frenlypandas,BattleguruNFT,False
32,frenlypandas,cbassg16,False
33,frenlypandas,Zeneca_33,False
34,frenlypandas,squidNFT,False
35,frenlypandas,elliotrades,False
36,frenlypandas,PopeyesNFTs,False
37,frenlypandas,JamesCiesluk,False
38,frenlypandas,AmeerHussainn,False
39,frenlypandas,KevinSusanto,False
40,frenlypandas,DonteCrypto,False
41,frenlypandas,JuJulikesnfts,False
42,frenlypandas,Chewtoro,False
43,frenlypandas,DCLBlogger,False
44,frenlypandas,tropoFarmer,False
45,frenlypandas,sxtvik,False
46,frenlypandas,andr3w,False
47,frenlypandas,DeezeFi,False
48,frenlypandas,fvckrender,False
49,frenlypandas,garyvee,False
50,frenlypandas,Luke360,False
51,frenlypandas,iamDCinvestor,False
