,nft_name,influencer_name,is_influencer_following
0,FortuneFriends_,BentoBoiNFT,False
1,FortuneFriends_,TheShamdoo,False
2,FortuneFriends_,dingalingts,False
3,FortuneFriends_,champtgram,True
4,FortuneFriends_,CryptoGorillaYT,True
5,FortuneFriends_,nftpasta,True
6,FortuneFriends_,MattCobuzio,True
7,FortuneFriends_,mulligan,False
8,FortuneFriends_,Crypt0Emma,False
9,FortuneFriends_,SkiddilyNFT,True
10,FortuneFriends_,NFTverse_,False
11,FortuneFriends_,NickyGee44,False
12,FortuneFriends_,allnick,False
13,FortuneFriends_,Cameron_singh17,True
14,FortuneFriends_,maxnaut,True
15,FortuneFriends_,LilMoonLambo,False
16,FortuneFriends_,SajadNFT,False
17,FortuneFriends_,ashrobinqt,True
18,FortuneFriends_,Dario_Desiena,False
19,FortuneFriends_,SneakyninjaNFTs,False
20,FortuneFriends_,KosherPlug,False
21,FortuneFriends_,thebrettway,False
22,FortuneFriends_,OttoSuwenNFT,False
23,FortuneFriends_,OttoSuwenNFT,False
24,FortuneFriends_,itstylersays,False
25,FortuneFriends_,hypnotizedApe,False
26,FortuneFriends_,NFTLlama,True
27,FortuneFriends_,JRNYcrypto,False
28,FortuneFriends_,ZssBecker,False
29,FortuneFriends_,SpencerCUH,False
30,FortuneFriends_,Archemist23NFT,False
31,FortuneFriends_,BattleguruNFT,False
32,FortuneFriends_,cbassg16,False
33,FortuneFriends_,Zeneca_33,True
34,FortuneFriends_,squidNFT,False
35,FortuneFriends_,elliotrades,False
36,FortuneFriends_,PopeyesNFTs,False
37,FortuneFriends_,JamesCiesluk,True
38,FortuneFriends_,AmeerHussainn,False
39,FortuneFriends_,KevinSusanto,False
40,FortuneFriends_,DonteCrypto,False
41,FortuneFriends_,JuJulikesnfts,True
42,FortuneFriends_,Chewtoro,True
43,FortuneFriends_,DCLBlogger,False
44,FortuneFriends_,tropoFarmer,False
45,FortuneFriends_,sxtvik,False
46,FortuneFriends_,andr3w,True
47,FortuneFriends_,DeezeFi,False
48,FortuneFriends_,fvckrender,False
49,FortuneFriends_,garyvee,False
50,FortuneFriends_,Luke360,False
51,FortuneFriends_,iamDCinvestor,False
