,nft_name,influencer_name,is_influencer_following
0,CatBloxStudios,BentoBoiNFT,False
1,CatBloxStudios,TheShamdoo,False
2,CatBloxStudios,dingalingts,False
3,CatBloxStudios,champtgram,True
4,CatBloxStudios,CryptoGorillaYT,False
5,CatBloxStudios,nftpasta,True
6,CatBloxStudios,MattCobuzio,True
7,CatBloxStudios,mulligan,False
8,CatBloxStudios,Crypt0Emma,False
9,CatBloxStudios,SkiddilyNFT,True
10,CatBloxStudios,NFTverse_,False
11,CatBloxStudios,NickyGee44,False
12,CatBloxStudios,allnick,False
13,CatBloxStudios,Cameron_singh17,False
14,CatBloxStudios,maxnaut,False
15,CatBloxStudios,LilMoonLambo,False
16,CatBloxStudios,SajadNFT,False
17,CatBloxStudios,ashrobinqt,False
18,CatBloxStudios,Dario_Desiena,False
19,CatBloxStudios,SneakyninjaNFTs,False
20,CatBloxStudios,KosherPlug,False
21,CatBloxStudios,thebrettway,False
22,CatBloxStudios,OttoSuwenNFT,False
23,CatBloxStudios,OttoSuwenNFT,False
24,CatBloxStudios,itstylersays,False
25,CatBloxStudios,hypnotizedApe,False
26,CatBloxStudios,NFTLlama,True
27,CatBloxStudios,JRNYcrypto,False
28,CatBloxStudios,ZssBecker,False
29,CatBloxStudios,SpencerCUH,False
30,CatBloxStudios,Archemist23NFT,True
31,CatBloxStudios,BattleguruNFT,False
32,CatBloxStudios,cbassg16,False
33,CatBloxStudios,Zeneca_33,False
34,CatBloxStudios,squidNFT,False
35,CatBloxStudios,elliotrades,False
36,CatBloxStudios,PopeyesNFTs,False
37,CatBloxStudios,JamesCiesluk,True
38,CatBloxStudios,AmeerHussainn,False
39,CatBloxStudios,KevinSusanto,False
40,CatBloxStudios,DonteCrypto,False
41,CatBloxStudios,JuJulikesnfts,True
42,CatBloxStudios,Chewtoro,True
43,CatBloxStudios,DCLBlogger,False
44,CatBloxStudios,tropoFarmer,False
45,CatBloxStudios,sxtvik,False
46,CatBloxStudios,andr3w,False
47,CatBloxStudios,DeezeFi,False
48,CatBloxStudios,fvckrender,False
49,CatBloxStudios,garyvee,False
50,CatBloxStudios,Luke360,False
51,CatBloxStudios,iamDCinvestor,False
