,nft_name,influencer_name,is_influencer_following
0,thesunniesnft,BentoBoiNFT,True
1,thesunniesnft,TheShamdoo,False
2,thesunniesnft,dingalingts,False
3,thesunniesnft,champtgram,False
4,thesunniesnft,CryptoGorillaYT,False
5,thesunniesnft,nftpasta,True
6,thesunniesnft,MattCobuzio,False
7,thesunniesnft,mulligan,False
8,thesunniesnft,Crypt0Emma,False
9,thesunniesnft,SkiddilyNFT,False
10,thesunniesnft,NFTverse_,False
11,thesunniesnft,NickyGee44,False
12,thesunniesnft,allnick,False
13,thesunniesnft,Cameron_singh17,False
14,thesunniesnft,maxnaut,False
15,thesunniesnft,LilMoonLambo,False
16,thesunniesnft,SajadNFT,False
17,thesunniesnft,ashrobinqt,True
18,thesunniesnft,Dario_Desiena,False
19,thesunniesnft,SneakyninjaNFTs,False
20,thesunniesnft,KosherPlug,True
21,thesunniesnft,thebrettway,False
22,thesunniesnft,OttoSuwenNFT,False
23,thesunniesnft,OttoSuwenNFT,False
24,thesunniesnft,itstylersays,False
25,thesunniesnft,hypnotizedApe,False
26,thesunniesnft,NFTLlama,False
27,thesunniesnft,JRNYcrypto,False
28,thesunniesnft,ZssBecker,False
29,thesunniesnft,SpencerCUH,False
30,thesunniesnft,Archemist23NFT,False
31,thesunniesnft,BattleguruNFT,False
32,thesunniesnft,cbassg16,False
33,thesunniesnft,Zeneca_33,False
34,thesunniesnft,squidNFT,False
35,thesunniesnft,elliotrades,False
36,thesunniesnft,PopeyesNFTs,False
37,thesunniesnft,JamesCiesluk,True
38,thesunniesnft,AmeerHussainn,False
39,thesunniesnft,KevinSusanto,False
40,thesunniesnft,DonteCrypto,False
41,thesunniesnft,JuJulikesnfts,False
42,thesunniesnft,Chewtoro,False
43,thesunniesnft,DCLBlogger,False
44,thesunniesnft,tropoFarmer,False
45,thesunniesnft,sxtvik,False
46,thesunniesnft,andr3w,False
47,thesunniesnft,DeezeFi,False
48,thesunniesnft,fvckrender,False
49,thesunniesnft,garyvee,False
50,thesunniesnft,Luke360,False
51,thesunniesnft,iamDCinvestor,False
