,nft_name,influencer_name,is_influencer_following
0,DentedFeelsNFT,BentoBoiNFT,False
1,DentedFeelsNFT,TheShamdoo,True
2,DentedFeelsNFT,dingalingts,False
3,DentedFeelsNFT,champtgram,True
4,DentedFeelsNFT,CryptoGorillaYT,False
5,DentedFeelsNFT,nftpasta,True
6,DentedFeelsNFT,MattCobuzio,False
7,DentedFeelsNFT,mulligan,False
8,DentedFeelsNFT,Crypt0Emma,False
9,DentedFeelsNFT,SkiddilyNFT,True
10,DentedFeelsNFT,NFTverse_,False
11,DentedFeelsNFT,NickyGee44,False
12,DentedFeelsNFT,allnick,True
13,DentedFeelsNFT,Cameron_singh17,True
14,DentedFeelsNFT,maxnaut,False
15,DentedFeelsNFT,LilMoonLambo,False
16,DentedFeelsNFT,SajadNFT,False
17,DentedFeelsNFT,ashrobinqt,False
18,DentedFeelsNFT,Dario_Desiena,False
19,DentedFeelsNFT,SneakyninjaNFTs,False
20,DentedFeelsNFT,KosherPlug,False
21,DentedFeelsNFT,thebrettway,False
22,DentedFeelsNFT,OttoSuwenNFT,False
23,DentedFeelsNFT,OttoSuwenNFT,False
24,DentedFeelsNFT,itstylersays,False
25,DentedFeelsNFT,hypnotizedApe,False
26,DentedFeelsNFT,NFTLlama,True
27,DentedFeelsNFT,JRNYcrypto,False
28,DentedFeelsNFT,ZssBecker,False
29,DentedFeelsNFT,SpencerCUH,False
30,DentedFeelsNFT,Archemist23NFT,False
31,DentedFeelsNFT,BattleguruNFT,False
32,DentedFeelsNFT,cbassg16,False
33,DentedFeelsNFT,Zeneca_33,True
34,DentedFeelsNFT,squidNFT,False
35,DentedFeelsNFT,elliotrades,False
36,DentedFeelsNFT,PopeyesNFTs,False
37,DentedFeelsNFT,JamesCiesluk,True
38,DentedFeelsNFT,AmeerHussainn,False
39,DentedFeelsNFT,KevinSusanto,False
40,DentedFeelsNFT,DonteCrypto,False
41,DentedFeelsNFT,JuJulikesnfts,False
42,DentedFeelsNFT,Chewtoro,True
43,DentedFeelsNFT,DCLBlogger,False
44,DentedFeelsNFT,tropoFarmer,True
45,DentedFeelsNFT,sxtvik,False
46,DentedFeelsNFT,andr3w,False
47,DentedFeelsNFT,DeezeFi,True
48,DentedFeelsNFT,fvckrender,False
49,DentedFeelsNFT,garyvee,False
50,DentedFeelsNFT,Luke360,False
51,DentedFeelsNFT,iamDCinvestor,False
