,nft_name,influencer_name,is_influencer_following
0,KamiTribe,BentoBoiNFT,False
1,KamiTribe,TheShamdoo,False
2,KamiTribe,dingalingts,False
3,KamiTribe,champtgram,False
4,KamiTribe,CryptoGorillaYT,False
5,KamiTribe,nftpasta,True
6,KamiTribe,MattCobuzio,False
7,KamiTribe,mulligan,False
8,KamiTribe,Crypt0Emma,False
9,KamiTribe,SkiddilyNFT,False
10,KamiTribe,NFTverse_,False
11,KamiTribe,NickyGee44,False
12,KamiTribe,allnick,False
13,KamiTribe,Cameron_singh17,False
14,KamiTribe,maxnaut,False
15,KamiTribe,LilMoonLambo,False
16,KamiTribe,SajadNFT,False
17,KamiTribe,ashrobinqt,False
18,KamiTribe,Dario_Desiena,False
19,KamiTribe,SneakyninjaNFTs,False
20,KamiTribe,KosherPlug,False
21,KamiTribe,thebrettway,False
22,KamiTribe,OttoSuwenNFT,False
23,KamiTribe,OttoSuwenNFT,False
24,KamiTribe,itstylersays,False
25,KamiTribe,hypnotizedApe,False
26,KamiTribe,NFTLlama,False
27,KamiTribe,JRNYcrypto,False
28,KamiTribe,ZssBecker,False
29,KamiTribe,SpencerCUH,False
30,KamiTribe,Archemist23NFT,False
31,KamiTribe,BattleguruNFT,False
32,KamiTribe,cbassg16,False
33,KamiTribe,Zeneca_33,False
34,KamiTribe,squidNFT,False
35,KamiTribe,elliotrades,False
36,KamiTribe,PopeyesNFTs,False
37,KamiTribe,JamesCiesluk,True
38,KamiTribe,AmeerHussainn,False
39,KamiTribe,KevinSusanto,False
40,KamiTribe,DonteCrypto,False
41,KamiTribe,JuJulikesnfts,False
42,KamiTribe,Chewtoro,True
43,KamiTribe,DCLBlogger,False
44,KamiTribe,tropoFarmer,False
45,KamiTribe,sxtvik,False
46,KamiTribe,andr3w,False
47,KamiTribe,DeezeFi,False
48,KamiTribe,fvckrender,False
49,KamiTribe,garyvee,False
50,KamiTribe,Luke360,False
51,KamiTribe,iamDCinvestor,False
