,nft_name,influencer_name,is_influencer_following
0,DippiesNFT,BentoBoiNFT,False
1,DippiesNFT,TheShamdoo,True
2,DippiesNFT,dingalingts,False
3,DippiesNFT,champtgram,True
4,DippiesNFT,CryptoGorillaYT,True
5,DippiesNFT,nftpasta,True
6,DippiesNFT,MattCobuzio,False
7,DippiesNFT,mulligan,False
8,DippiesNFT,Crypt0Emma,True
9,DippiesNFT,SkiddilyNFT,True
10,DippiesNFT,NFTverse_,False
11,DippiesNFT,NickyGee44,True
12,DippiesNFT,allnick,False
13,DippiesNFT,Cameron_singh17,True
14,DippiesNFT,maxnaut,False
15,DippiesNFT,LilMoonLambo,False
16,DippiesNFT,SajadNFT,False
17,DippiesNFT,ashrobinqt,False
18,DippiesNFT,Dario_Desiena,False
19,DippiesNFT,SneakyninjaNFTs,False
20,DippiesNFT,KosherPlug,True
21,DippiesNFT,thebrettway,True
22,DippiesNFT,OttoSuwenNFT,False
23,DippiesNFT,OttoSuwenNFT,False
24,DippiesNFT,itstylersays,False
25,DippiesNFT,hypnotizedApe,False
26,DippiesNFT,NFTLlama,False
27,DippiesNFT,JRNYcrypto,False
28,DippiesNFT,ZssBecker,False
29,DippiesNFT,SpencerCUH,False
30,DippiesNFT,Archemist23NFT,True
31,DippiesNFT,BattleguruNFT,False
32,DippiesNFT,cbassg16,False
33,DippiesNFT,Zeneca_33,False
34,DippiesNFT,squidNFT,False
35,DippiesNFT,elliotrades,False
36,DippiesNFT,PopeyesNFTs,False
37,DippiesNFT,JamesCiesluk,True
38,DippiesNFT,AmeerHussainn,False
39,DippiesNFT,KevinSusanto,False
40,DippiesNFT,DonteCrypto,False
41,DippiesNFT,JuJulikesnfts,False
42,DippiesNFT,Chewtoro,False
43,DippiesNFT,DCLBlogger,False
44,DippiesNFT,tropoFarmer,True
45,DippiesNFT,sxtvik,False
46,DippiesNFT,andr3w,True
47,DippiesNFT,DeezeFi,False
48,DippiesNFT,fvckrender,False
49,DippiesNFT,garyvee,False
50,DippiesNFT,Luke360,False
51,DippiesNFT,iamDCinvestor,False
