,nft_name,influencer_name,is_influencer_following
0,TsukiNFT,BentoBoiNFT,False
1,TsukiNFT,TheShamdoo,False
2,TsukiNFT,dingalingts,False
3,TsukiNFT,champtgram,True
4,TsukiNFT,CryptoGorillaYT,False
5,TsukiNFT,nftpasta,True
6,TsukiNFT,MattCobuzio,False
7,TsukiNFT,mulligan,False
8,TsukiNFT,Crypt0Emma,False
9,TsukiNFT,SkiddilyNFT,False
10,TsukiNFT,NFTverse_,False
11,TsukiNFT,NickyGee44,False
12,TsukiNFT,allnick,False
13,TsukiNFT,Cameron_singh17,True
14,TsukiNFT,maxnaut,True
15,TsukiNFT,LilMoonLambo,False
16,TsukiNFT,SajadNFT,False
17,TsukiNFT,ashrobinqt,False
18,TsukiNFT,Dario_Desiena,False
19,TsukiNFT,SneakyninjaNFTs,False
20,TsukiNFT,KosherPlug,True
21,TsukiNFT,thebrettway,False
22,TsukiNFT,OttoSuwenNFT,False
23,TsukiNFT,OttoSuwenNFT,False
24,TsukiNFT,itstylersays,False
25,TsukiNFT,hypnotizedApe,False
26,TsukiNFT,NFTLlama,False
27,TsukiNFT,JRNYcrypto,False
28,TsukiNFT,ZssBecker,False
29,TsukiNFT,SpencerCUH,False
30,TsukiNFT,Archemist23NFT,False
31,TsukiNFT,BattleguruNFT,False
32,TsukiNFT,cbassg16,False
33,TsukiNFT,Zeneca_33,False
34,TsukiNFT,squidNFT,False
35,TsukiNFT,elliotrades,False
36,TsukiNFT,PopeyesNFTs,False
37,TsukiNFT,JamesCiesluk,True
38,TsukiNFT,AmeerHussainn,False
39,TsukiNFT,KevinSusanto,False
40,TsukiNFT,DonteCrypto,False
41,TsukiNFT,JuJulikesnfts,False
42,TsukiNFT,Chewtoro,True
43,TsukiNFT,DCLBlogger,False
44,TsukiNFT,tropoFarmer,False
45,TsukiNFT,sxtvik,False
46,TsukiNFT,andr3w,True
47,TsukiNFT,DeezeFi,False
48,TsukiNFT,fvckrender,False
49,TsukiNFT,garyvee,False
50,TsukiNFT,Luke360,False
51,TsukiNFT,iamDCinvestor,False
