,nft_name,influencer_name,is_influencer_following
0,BoozeBears,BentoBoiNFT,False
1,BoozeBears,TheShamdoo,False
2,BoozeBears,dingalingts,False
3,BoozeBears,champtgram,False
4,BoozeBears,CryptoGorillaYT,False
5,BoozeBears,nftpasta,False
6,BoozeBears,MattCobuzio,False
7,BoozeBears,mulligan,False
8,BoozeBears,Crypt0Emma,False
9,BoozeBears,SkiddilyNFT,False
10,BoozeBears,NFTverse_,False
11,BoozeBears,NickyGee44,False
12,BoozeBears,allnick,False
13,BoozeBears,Cameron_singh17,False
14,BoozeBears,maxnaut,False
15,BoozeBears,LilMoonLambo,False
16,BoozeBears,SajadNFT,False
17,BoozeBears,ashrobinqt,False
18,BoozeBears,Dario_Desiena,False
19,BoozeBears,SneakyninjaNFTs,False
20,BoozeBears,KosherPlug,False
21,BoozeBears,thebrettway,False
22,BoozeBears,OttoSuwenNFT,False
23,BoozeBears,OttoSuwenNFT,False
24,BoozeBears,itstylersays,False
25,BoozeBears,hypnotizedApe,False
26,BoozeBears,NFTLlama,False
27,BoozeBears,JRNYcrypto,False
28,BoozeBears,ZssBecker,False
29,BoozeBears,SpencerCUH,False
30,BoozeBears,Archemist23NFT,False
31,BoozeBears,BattleguruNFT,False
32,BoozeBears,cbassg16,False
33,BoozeBears,Zeneca_33,False
34,BoozeBears,squidNFT,False
35,BoozeBears,elliotrades,False
36,BoozeBears,PopeyesNFTs,False
37,BoozeBears,JamesCiesluk,False
38,BoozeBears,AmeerHussainn,False
39,BoozeBears,KevinSusanto,False
40,BoozeBears,DonteCrypto,False
41,BoozeBears,JuJulikesnfts,False
42,BoozeBears,Chewtoro,False
43,BoozeBears,DCLBlogger,False
44,BoozeBears,tropoFarmer,False
45,BoozeBears,sxtvik,False
46,BoozeBears,andr3w,False
47,BoozeBears,DeezeFi,False
48,BoozeBears,fvckrender,False
49,BoozeBears,garyvee,False
50,BoozeBears,Luke360,False
51,BoozeBears,iamDCinvestor,False
