,nft_name,influencer_name,is_influencer_following
0,RubberDuckBP,BentoBoiNFT,False
1,RubberDuckBP,TheShamdoo,True
2,RubberDuckBP,dingalingts,False
3,RubberDuckBP,champtgram,True
4,RubberDuckBP,CryptoGorillaYT,True
5,RubberDuckBP,nftpasta,True
6,RubberDuckBP,MattCobuzio,True
7,RubberDuckBP,mulligan,False
8,RubberDuckBP,Crypt0Emma,True
9,RubberDuckBP,SkiddilyNFT,True
10,RubberDuckBP,NFTverse_,False
11,RubberDuckBP,NickyGee44,False
12,RubberDuckBP,allnick,False
13,RubberDuckBP,Cameron_singh17,True
14,RubberDuckBP,maxnaut,True
15,RubberDuckBP,LilMoonLambo,False
16,RubberDuckBP,SajadNFT,False
17,RubberDuckBP,ashrobinqt,False
18,RubberDuckBP,Dario_Desiena,False
19,RubberDuckBP,SneakyninjaNFTs,False
20,RubberDuckBP,KosherPlug,False
21,RubberDuckBP,thebrettway,False
22,RubberDuckBP,OttoSuwenNFT,False
23,RubberDuckBP,OttoSuwenNFT,False
24,RubberDuckBP,itstylersays,False
25,RubberDuckBP,hypnotizedApe,False
26,RubberDuckBP,NFTLlama,False
27,RubberDuckBP,JRNYcrypto,False
28,RubberDuckBP,ZssBecker,False
29,RubberDuckBP,SpencerCUH,False
30,RubberDuckBP,Archemist23NFT,True
31,RubberDuckBP,BattleguruNFT,True
32,RubberDuckBP,cbassg16,False
33,RubberDuckBP,Zeneca_33,False
34,RubberDuckBP,squidNFT,False
35,RubberDuckBP,elliotrades,False
36,RubberDuckBP,PopeyesNFTs,False
37,RubberDuckBP,JamesCiesluk,False
38,RubberDuckBP,AmeerHussainn,False
39,RubberDuckBP,KevinSusanto,False
40,RubberDuckBP,DonteCrypto,False
41,RubberDuckBP,JuJulikesnfts,False
42,RubberDuckBP,Chewtoro,False
43,RubberDuckBP,DCLBlogger,False
44,RubberDuckBP,tropoFarmer,False
45,RubberDuckBP,sxtvik,False
46,RubberDuckBP,andr3w,True
47,RubberDuckBP,DeezeFi,False
48,RubberDuckBP,fvckrender,False
49,RubberDuckBP,garyvee,False
50,RubberDuckBP,Luke360,True
51,RubberDuckBP,iamDCinvestor,False
