,nft_name,influencer_name,is_influencer_following
0,0xALINFT,BentoBoiNFT,False
1,0xALINFT,TheShamdoo,True
2,0xALINFT,dingalingts,False
3,0xALINFT,champtgram,False
4,0xALINFT,CryptoGorillaYT,True
5,0xALINFT,nftpasta,True
6,0xALINFT,MattCobuzio,False
7,0xALINFT,mulligan,False
8,0xALINFT,Crypt0Emma,False
9,0xALINFT,SkiddilyNFT,True
10,0xALINFT,NFTverse_,False
11,0xALINFT,NickyGee44,False
12,0xALINFT,allnick,False
13,0xALINFT,Cameron_singh17,True
14,0xALINFT,maxnaut,True
15,0xALINFT,LilMoonLambo,False
16,0xALINFT,SajadNFT,False
17,0xALINFT,ashrobinqt,False
18,0xALINFT,Dario_Desiena,False
19,0xALINFT,SneakyninjaNFTs,False
20,0xALINFT,KosherPlug,True
21,0xALINFT,thebrettway,False
22,0xALINFT,OttoSuwenNFT,False
23,0xALINFT,OttoSuwenNFT,False
24,0xALINFT,itstylersays,False
25,0xALINFT,hypnotizedApe,False
26,0xALINFT,NFTLlama,False
27,0xALINFT,JRNYcrypto,False
28,0xALINFT,ZssBecker,False
29,0xALINFT,SpencerCUH,False
30,0xALINFT,Archemist23NFT,False
31,0xALINFT,BattleguruNFT,False
32,0xALINFT,cbassg16,False
33,0xALINFT,Zeneca_33,False
34,0xALINFT,squidNFT,False
35,0xALINFT,elliotrades,False
36,0xALINFT,PopeyesNFTs,False
37,0xALINFT,JamesCiesluk,True
38,0xALINFT,AmeerHussainn,False
39,0xALINFT,KevinSusanto,False
40,0xALINFT,DonteCrypto,True
41,0xALINFT,JuJulikesnfts,True
42,0xALINFT,Chewtoro,True
43,0xALINFT,DCLBlogger,False
44,0xALINFT,tropoFarmer,False
45,0xALINFT,sxtvik,False
46,0xALINFT,andr3w,True
47,0xALINFT,DeezeFi,False
48,0xALINFT,fvckrender,False
49,0xALINFT,garyvee,False
50,0xALINFT,Luke360,False
51,0xALINFT,iamDCinvestor,False
