,nft_name,influencer_name,is_influencer_following
0,RoborovskiNFT,BentoBoiNFT,True
1,RoborovskiNFT,TheShamdoo,False
2,RoborovskiNFT,dingalingts,False
3,RoborovskiNFT,champtgram,True
4,RoborovskiNFT,CryptoGorillaYT,False
5,RoborovskiNFT,nftpasta,True
6,RoborovskiNFT,MattCobuzio,False
7,RoborovskiNFT,mulligan,False
8,RoborovskiNFT,Crypt0Emma,True
9,RoborovskiNFT,SkiddilyNFT,True
10,RoborovskiNFT,NFTverse_,False
11,RoborovskiNFT,NickyGee44,True
12,RoborovskiNFT,allnick,False
13,RoborovskiNFT,Cameron_singh17,True
14,RoborovskiNFT,maxnaut,False
15,RoborovskiNFT,LilMoonLambo,False
16,RoborovskiNFT,SajadNFT,False
17,RoborovskiNFT,ashrobinqt,False
18,RoborovskiNFT,Dario_Desiena,False
19,RoborovskiNFT,SneakyninjaNFTs,False
20,RoborovskiNFT,KosherPlug,False
21,RoborovskiNFT,thebrettway,False
22,RoborovskiNFT,OttoSuwenNFT,False
23,RoborovskiNFT,OttoSuwenNFT,False
24,RoborovskiNFT,itstylersays,False
25,RoborovskiNFT,hypnotizedApe,False
26,RoborovskiNFT,NFTLlama,False
27,RoborovskiNFT,JRNYcrypto,False
28,RoborovskiNFT,ZssBecker,False
29,RoborovskiNFT,SpencerCUH,False
30,RoborovskiNFT,Archemist23NFT,False
31,RoborovskiNFT,BattleguruNFT,False
32,RoborovskiNFT,cbassg16,False
33,RoborovskiNFT,Zeneca_33,False
34,RoborovskiNFT,squidNFT,False
35,RoborovskiNFT,elliotrades,False
36,RoborovskiNFT,PopeyesNFTs,False
37,RoborovskiNFT,JamesCiesluk,False
38,RoborovskiNFT,AmeerHussainn,False
39,RoborovskiNFT,KevinSusanto,True
40,RoborovskiNFT,DonteCrypto,False
41,RoborovskiNFT,JuJulikesnfts,False
42,RoborovskiNFT,Chewtoro,True
43,RoborovskiNFT,DCLBlogger,False
44,RoborovskiNFT,tropoFarmer,False
45,RoborovskiNFT,sxtvik,False
46,RoborovskiNFT,andr3w,False
47,RoborovskiNFT,DeezeFi,False
48,RoborovskiNFT,fvckrender,False
49,RoborovskiNFT,garyvee,False
50,RoborovskiNFT,Luke360,False
51,RoborovskiNFT,iamDCinvestor,False
